Exercise_Name,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp_details,muscle_gp,equipment_details,Equipment_x,Rating_x,Description,Unnamed: 0,Title,Desc,Type,BodyPart,Equipment_y,Level,Rating_y,RatingDesc,hasNoReps,hasWeight
narrow-stance squat,https://www.bodybuilding.com/exercises/narrow-stance-squats,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,Average,1806,narrow-stance squat,"The narrow-stance squat is an exercise that targets the lower body with an emphasis on the quads. Many people will find they can't go as deep in a narrow-stance squat as with a wider squat, which is normal. The narrow-stance squat can be performed for time or reps in any workout.",Strength,Quadriceps,Barbell,Expert,9.0,Average,True,True
narrow-stance squat,https://www.bodybuilding.com/exercises/narrow-stance-squats,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30a-narrow-stance-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30a-narrow-stance-squat-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,Average,1806,narrow-stance squat,"The narrow-stance squat is an exercise that targets the lower body with an emphasis on the quads. Many people will find they can't go as deep in a narrow-stance squat as with a wider squat, which is normal. The narrow-stance squat can be performed for time or reps in any workout.",Strength,Quadriceps,Barbell,Expert,9.0,Average,True,True
kneeling cable oblique crunch,https://www.bodybuilding.com/exercises/oblique-cable-crunch,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,Average,152,kneeling cable oblique crunch,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher.",Strength,Abdominals,Cable,Intermediate,9.0,Average,True,True
kneeling cable oblique crunch,https://www.bodybuilding.com/exercises/oblique-cable-crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-36c-kneeling-cable-oblique-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-36c-kneeling-cable-oblique-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,Average,152,kneeling cable oblique crunch,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher.",Strength,Abdominals,Cable,Intermediate,9.0,Average,True,True
reverse grip triceps pushdown,https://www.bodybuilding.com/exercises/reverse-grip-triceps-pushdown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,Average,2834,reverse grip triceps pushdown,"The reverse-grip cable straight-bar push-down is a twist on the popular cable straight-bar push-down. The difference has to do with how the hands are positioned holding the bar: the palms facing up rather than down. Because grip will be a limiting factor, this movement is usually performed for moderate to high reps, such as 8-12 reps per set or higher.",Strength,Triceps,Cable,Intermediate,9.0,Average,True,True
reverse grip triceps pushdown,https://www.bodybuilding.com/exercises/reverse-grip-triceps-pushdown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,Average,2834,reverse grip triceps pushdown,"The reverse-grip cable straight-bar push-down is a twist on the popular cable straight-bar push-down. The difference has to do with how the hands are positioned holding the bar: the palms facing up rather than down. Because grip will be a limiting factor, this movement is usually performed for moderate to high reps, such as 8-12 reps per set or higher.",Strength,Triceps,Cable,Intermediate,9.0,Average,True,True
bear crawl sled drag,https://www.bodybuilding.com/exercises/bear-crawl-sled-drags-,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/other,Other,9.0,Average,1999,bear crawl sled drag,"The bear crawl sled drag is an advanced variation of the bear crawl exercise involving added resistance from a sled or other weight. If no sled is available, other viable options include dragging chain, a barbell plate, or a tire. The bear crawl sled drag is an intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, particularly the shoulders, core, and legs. It can be done in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",Strongman,Quadriceps,Other,Intermediate,9.0,Average,True,True
bear crawl sled drag,https://www.bodybuilding.com/exercises/bear-crawl-sled-drags-,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-153s-bear-crawl-sled-drag-m1-crop-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-153s-bear-crawl-sled-drag-m4-crop-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/other,Other,9.0,Average,1999,bear crawl sled drag,"The bear crawl sled drag is an advanced variation of the bear crawl exercise involving added resistance from a sled or other weight. If no sled is available, other viable options include dragging chain, a barbell plate, or a tire. The bear crawl sled drag is an intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, particularly the shoulders, core, and legs. It can be done in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",Strongman,Quadriceps,Other,Intermediate,9.0,Average,True,True
rocky pull-ups/pulldowns,https://www.bodybuilding.com/exercises/rocky-pull-upspulldowns,,,https://www.bodybuilding.com/exercises/muscle/lats,Lats,https://www.bodybuilding.com/exercises/equipment/other,Other,9.0,Average,1452,rocky pull-ups/pulldowns,,Strength,Lats,Other,Beginner,9.0,Average,True,True
rocky pull-ups/pulldowns,https://www.bodybuilding.com/exercises/rocky-pull-upspulldowns,https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/m/279_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/m/279_2.jpg,https://www.bodybuilding.com/exercises/muscle/lats,Lats,https://www.bodybuilding.com/exercises/equipment/other,Other,9.0,Average,1452,rocky pull-ups/pulldowns,,Strength,Lats,Other,Beginner,9.0,Average,True,True
snatch-grip behind-the-neck overhead press,https://www.bodybuilding.com/exercises/snatch-grip-behind-the-neck-overhead-press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/m/4571_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/m/4571_2.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,Average,2452,snatch-grip behind-the-neck overhead press,,Strength,Shoulders,Barbell,Beginner,9.0,Average,True,True
snatch-grip behind-the-neck overhead press,https://www.bodybuilding.com/exercises/snatch-grip-behind-the-neck-overhead-press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,Average,2452,snatch-grip behind-the-neck overhead press,,Strength,Shoulders,Barbell,Beginner,9.0,Average,True,True
box squat with bands,https://www.bodybuilding.com/exercises/box-squat-with-bands,https://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/m/666_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/m/666_2.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,Average,1807,box squat with bands,,Powerlifting,Quadriceps,Barbell,Beginner,9.0,Average,True,True
box squat with bands,https://www.bodybuilding.com/exercises/box-squat-with-bands,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,Average,1807,box squat with bands,,Powerlifting,Quadriceps,Barbell,Beginner,9.0,Average,True,True
flexor incline dumbbell curls,https://www.bodybuilding.com/exercises/flexor-incline-dumbbell-curls,https://www.bodybuilding.com/exercises/exerciseImages/sequences/285/Male/m/285_1.jpg,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.0,Average,735,flexor incline dumbbell curls,,Strength,Biceps,Dumbbell,Beginner,9.0,Average,True,True
flexor incline dumbbell curls,https://www.bodybuilding.com/exercises/flexor-incline-dumbbell-curls,,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.0,Average,735,flexor incline dumbbell curls,,Strength,Biceps,Dumbbell,Beginner,9.0,Average,True,True
seated one-arm dumbbell palms-up wrist curl,https://www.bodybuilding.com/exercises/seated-one-arm-dumbbell-palms-up-wrist-curl,https://www.bodybuilding.com/exercises/exerciseImages/sequences/386/Male/m/386_1.jpg,,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.0,Average,1185,seated one-arm dumbbell palms-up wrist curl,,Strength,Forearms,Dumbbell,Beginner,9.0,Average,True,True
seated one-arm dumbbell palms-up wrist curl,https://www.bodybuilding.com/exercises/seated-one-arm-dumbbell-palms-up-wrist-curl,,,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.0,Average,1185,seated one-arm dumbbell palms-up wrist curl,,Strength,Forearms,Dumbbell,Beginner,9.0,Average,True,True
thigh adductor,https://www.bodybuilding.com/exercises/thigh-adductor,,,https://www.bodybuilding.com/exercises/muscle/adductors,Adductors,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.0,Average,669,thigh adductor,"The thigh adductor machine is a lower-body exercise that targets the muscles of the inner thighs. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Strength,Adductors,Machine,Intermediate,9.0,Average,True,True
machine bicep curl,https://www.bodybuilding.com/exercises/machine-bicep-curl,https://www.bodybuilding.com/exercises/exerciseImages/sequences/899/Male/m/899_2.jpg,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.0,Average,846,machine bicep curl,,Strength,Biceps,Machine,Beginner,9.0,Average,True,True
machine bicep curl,https://www.bodybuilding.com/exercises/machine-bicep-curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.0,Average,846,machine bicep curl,,Strength,Biceps,Machine,Beginner,9.0,Average,True,True
car driver,https://www.bodybuilding.com/exercises/car-drivers,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/other,Other,9.0,Average,2654,car driver,"The car driver is a variation of the plate front raise exercise where the lifter holds a weight plate in front of them and twists it from side to side, similar to a steering wheel. It targets the muscles of the shoulders, the front or anterior deltoids in particular, but is also challenging to the core and upper-back muscles. It can provide variety in a shoulder-focused muscle-building workout or as part of an upper-body or full-body circuit.",Strength,Shoulders,Other,Intermediate,9.0,Average,True,True
alternating deltoid raise,https://www.bodybuilding.com/exercises/alternating-deltoid-raise,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.0,Average,2538,alternating deltoid raise,The dumbbell front raise to lateral raise combines two exercises that build and strengthen the middle deltoids and the anterior deltoids of the shoulders.,Strength,Shoulders,Dumbbell,Intermediate,9.0,Average,True,True
hanging oblique knee raise,https://www.bodybuilding.com/exercises/hanging-oblique-knee-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-120c-hanging-oblique-crunch-m1-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-120c-hanging-oblique-crunch-m2-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.0,Average,193,hanging oblique knee raise,"The hanging oblique crunch an abdominal exercise that targets both the rectus abdominus or “six-pack” muscles, and the oblique muscles. It can be performed hanging from a bar, or if grip strength is a limitation, by placing the elbows in ab straps. If hanging from a straight bar is uncomfortable to the wrists or shoulder, you can also perform them hanging with a neutral grip (palms facing one another)",Strength,Abdominals,Body Only,Intermediate,9.0,Average,True,False
bodyweight flyes,https://www.bodybuilding.com/exercises/bodyweight-flyes,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-182s-double-bar-roll-out-chest-fly-m1-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-182s-double-bar-roll-out-chest-fly-m2-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/ez-curl-bar,E-Z Curl Bar,9.0,Average,1155,bodyweight flyes,"The double-bar roll-out chest fly is a chest exercise that utilizes two rotating barbells as ""handles"" for a chest fly. It targets the muscles of the chest, but is also an intense core workout. It's a tough movement that is usually performed in the chest-focused portion of a workout.",Strength,Chest,E-Z Curl Bar,Beginner,9.0,Average,True,True
standing calf raises,https://www.bodybuilding.com/exercises/standing-calf-raises,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/calves,Calves,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.0,Average,887,standing calf raises,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Machine,Beginner,9.0,Average,True,True
push-ups - close triceps position,https://www.bodybuilding.com/exercises/push-ups-close-triceps-position,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104a-close-push-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104a-close-push-up-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.0,Average,2884,push-ups - close triceps position,"The close push-up is an upper-body exercise that targets the chest, triceps, and shoulders. The close hand position places more emphasis on the triceps.",Strength,Triceps,Body Only,Intermediate,9.0,Average,True,False
one-arm long bar row,https://www.bodybuilding.com/exercises/one-arm-long-bar-row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/middle-back,Middle Back,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,Average,1639,one-arm long bar row,"The single-arm landmine bent-over row is a barbell exercise focused on the muscles of the middle back, such as the lats (latissimus dorsi) and rhomboids. It also targets the biceps and grip. It utilizes a landmine device which anchors one end of the barbell near the ground, but could also be approximated by placing the barbell in the corner of a room.",Strength,Middle Back,Barbell,Intermediate,9.0,Average,True,True
overhead cable curl,https://www.bodybuilding.com/exercises/overhead-cable-curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,Average,816,overhead cable curl,"Also known as a crucifix curl, the overhead cable curl is a biceps-focused exercise performed between two cable stacks, using a pair of D-handles. The arms and elbows are held at shoulder height throughout the movement, and both hands curl in toward the ears. This position is designed to eliminate shoulder involvement and momentum, while targeting the biceps peak. This movement is generally done for moderate to high reps, such as 8-12 reps per set or more, as part of arm-focused training.",Strength,Biceps,Cable,Intermediate,9.0,Average,True,True
single-dumbbell front raise,https://www.bodybuilding.com/exercises/single-dumbbell-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18d-single-dumbbell-front-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18d-single-dumbbell-front-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.0,Average,2539,single-dumbbell front raise,"The single-dumbbell front raise is an isolation movement that targets the shoulders. In particular, it focuses on the anterior or front head of the deltoid muscles. By performing it with one dumbbell at a time, you can focus on each shoulder muscle independently and try to address muscular imbalances between shoulders. This movement is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout.",Strength,Shoulders,Dumbbell,Intermediate,9.0,Average,True,True
incline cable chest fly,https://www.bodybuilding.com/exercises/incline-cable-flye,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-10c-incline-cable-chest-fly-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-10c-incline-cable-chest-fly-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,Average,1074,incline cable chest fly,"The incline cable chest fly is an isolation movement that uses a cable stack and an incline bench to target the upper portion of the pectoral muscles. It is common in upper-body and chest-focused muscle-building workouts, often after pressing movements like the barbell or dumbbell bench press or as a finishing movement at the end of the workout. It is often used in combination with other flyes to target the chest from different angles.",Strength,Chest,Cable,Intermediate,9.0,Average,True,True
single-leg depth squat,https://www.bodybuilding.com/exercises/single-leg-high-box-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m4-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/bands,Bands,9.0,Average,1781,single-leg depth squat,"The single-leg depth squat is an exercise targeting the muscles of the lower body, including the quads, glutes, and hamstrings. It is sometimes used as a substitute for the pistol squat, since it doesn't demand the same level of flexibility to perform. It is usually performed for low to moderate reps with a focus on proper form and control.",Strength,Quadriceps,Bands,Intermediate,9.0,Average,True,True
dumbbell suitcase crunch,https://www.bodybuilding.com/exercises/weighted-suitcase-crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/medicine-ball,Medicine Ball,9.0,Average,619,dumbbell suitcase crunch,"The dumbbell suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Strength,Abdominals,Medicine Ball,Intermediate,9.0,Average,True,True
plate twist,https://www.bodybuilding.com/exercises/plate-twist,https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_2.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,9.0,Average,91,plate twist,,Strength,Abdominals,Other,Beginner,9.0,Average,True,True
single-leg cable hip extension,https://www.bodybuilding.com/exercises/one-legged-cable-kickback,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43c-single-leg-cable-hip-extension-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43c-single-leg-cable-hip-extension-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/glutes,Glutes,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,Average,1227,single-leg cable hip extension,"The single-leg cable hip extension is an isolation exercise that targets the glutes, specifically the gluteus maximus. It is a common burnout movement on a lower-body focused day and is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Glutes,Cable,Intermediate,9.0,Average,True,True
weighted jump squat,https://www.bodybuilding.com/exercises/weighted-jump-squat-,https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/m/887_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/m/887_2.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,Average,1808,weighted jump squat,,Strength,Quadriceps,Barbell,Beginner,9.0,Average,True,True
squat with chains,https://www.bodybuilding.com/exercises/squat-with-chains,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,Average,1809,squat with chains,,Powerlifting,Quadriceps,Barbell,Beginner,9.0,Average,True,True
gorilla chin/crunch,https://www.bodybuilding.com/exercises/gorilla-chincrunch,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.0,Average,194,gorilla chin/crunch,,Strength,Abdominals,Body Only,Beginner,9.0,Average,True,False
kneeling cable triceps extension,https://www.bodybuilding.com/exercises/kneeling-cable-triceps-extension,,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,Average,2835,kneeling cable triceps extension,The kneeling cable triceps extension is a single-joint exercise meant to isolate the triceps muscles using a high pully on a cable stack and a bench. It can also be performed in a tall-kneeling stance from a low pully. It is most commonly used in muscle-building triceps or arm workouts.,Strength,Triceps,Cable,Intermediate,9.0,Average,True,True
bicycling,https://www.bodybuilding.com/exercises/bicycling,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/other,Other,8.9,Average,2000,bicycling,,Cardio,Quadriceps,Other,Intermediate,8.9,Average,False,False
arnold press,https://www.bodybuilding.com/exercises/arnold-dumbbell-press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.9,Average,2540,arnold press,"Named after the iconic bodybuilder and movie star, the Arnold press adds rotation to a classic shoulder press. It allows the hands to rotate naturally, while also hitting all three heads of the deltoids in one motion. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or shoulder-focused portion of a workout.",Strength,Shoulders,Dumbbell,Intermediate,8.9,Average,True,True
arnold press,https://www.bodybuilding.com/exercises/arnold-dumbbell-press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.9,Average,2655,arnold press,"Named after the iconic bodybuilder and movie star, the Arnold press adds rotation to a classic shoulder press. It allows the hands to rotate naturally, while also hitting all three heads of the deltoids in one motion. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or shoulder-focused portion of a workout.",Strength,Shoulders,Dumbbell,Intermediate,8.9,Average,True,True
weighted crunches,https://www.bodybuilding.com/exercises/weighted-crunches,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,8.9,Average,92,weighted crunches,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Strength,Abdominals,Other,Intermediate,8.9,Average,True,True
single-arm cable triceps extension,https://www.bodybuilding.com/exercises/cable-one-arm-tricep-extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,8.9,Average,2836,single-arm cable triceps extension,"The single-arm cable triceps extension is a single-joint isolation exercise for building the triceps. It involves driving a handle attached to a cable stack overhead to full extension. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.",Strength,Triceps,Cable,Intermediate,8.9,Average,True,True
barbell roll-out,https://www.bodybuilding.com/exercises/barbell-ab-rollout,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,Average,8,barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,True,True
kneeling cable crunch,https://www.bodybuilding.com/exercises/cable-crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/cable,Cable,8.9,Average,153,kneeling cable crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",Strength,Abdominals,Cable,Intermediate,8.9,Average,True,True
exercise ball pull-in,https://www.bodybuilding.com/exercises/exercise-ball-pull-in,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/exercise-ball,Exercise Ball,8.9,Average,640,exercise ball pull-in,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Strength,Abdominals,Exercise Ball,Intermediate,8.9,Average,True,True
hanging leg raise,https://www.bodybuilding.com/exercises/hanging-leg-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,8.9,Average,195,hanging leg raise,"The hanging leg raise is an exercise targeting the abs, but which also works the lats and hip flexors. Instead of resting your forearms on the pads of a captain's chair, you perform these hanging from a bar. Experienced lifters make these look easy, but beginners may need time to build up to sets of 8-12 reps.",Strength,Abdominals,Body Only,Intermediate,8.9,Average,True,False
